id,closing_date,label,amount,bank_amount,bank_status,bank_matched_at
bfb3eb51-25c0-4c0b-b3d4-85e9a64c7ad7,2026-09-08,Contanti,396.05,,in_attesa,
19a09fc1-5703-4565-85df-be1ba7c15446,2026-09-08,Fatture,0,,in_attesa,
74fc9b8d-da56-4ff0-bf1e-dccb8e21a804,2026-09-08,Fatture,0,,in_attesa,
21d446f2-1b70-410d-9655-8adeaa7d0ca6,2026-09-08,Fatture,0,,in_attesa,
337f702b-f6bc-4b4b-9b6c-6ca58107465c,2026-09-08,Fatture,0,,in_attesa,
fb14ebcd-4f81-4f77-85bc-235ce72c193f,2026-09-08,Fatture,0,,in_attesa,
889c9a00-416e-4870-bda5-cda21802d884,2026-09-08,Fatture,0,,in_attesa,
767bb90c-d79e-469d-932e-dae26d6cd921,2026-09-08,Fatture,0,,in_attesa,
88022a16-f12c-4567-b383-8c15901d758a,2026-09-08,Pay by link,0,,in_attesa,
4831bcab-a892-4a92-89d3-f2dc30a5fd1d,2026-09-08,Pay by link,0,,in_attesa,
5a210539-c602-4a00-b169-fe2aabb3984a,2026-09-08,Pay by link,0,,in_attesa,
0cfa6d25-8d4a-429a-9ed8-2b89f9339746,2026-09-08,Pay by link,0,,in_attesa,
86ad7802-d124-4e22-9028-8ca0346815de,2026-09-08,Pay by link,0,,in_attesa,
96c62d59-bfe2-4dec-ab3b-9d56d147a872,2026-09-08,Pay by link,0,,in_attesa,
d5790ef5-8026-4a7b-ad1d-523d23da51ce,2026-09-08,Pay by link,0,,in_attesa,
be296702-900d-4d15-8631-11f4effa11e7,2026-09-08,POS BCC,0,,in_attesa,
d8503d7a-bb30-4c33-8097-ef121075a521,2026-09-08,POS BCC,0,,in_attesa,
7cae92ec-556c-4155-abde-0f4ffcce2f22,2026-09-08,POS BCC,872.86,872.86,accreditato,2026-09-10T06:05:00.090606+00:00
166e565a-c58e-4bd9-9780-0b4fb0f38fb0,2026-09-08,POS BCC,0,,in_attesa,
56d7b21e-796a-4849-adfb-edbe0809970c,2026-09-08,POS BCC,0,,in_attesa,
a5496207-2be1-499b-bff0-ffe4c71174b1,2026-09-08,POS BCC,0,,in_attesa,
e6e7b7c1-3506-4152-8282-a62bb7172325,2026-09-08,POS BCC,0,,in_attesa,
4144a91b-fd0a-40a8-bac0-95d28d288248,2026-09-08,POS BCC Amex,0,,in_attesa,
6600b5a4-20f6-4634-b7da-da65e0ca5083,2026-09-08,POS BCC Amex,0,,in_attesa,
e179986c-bdd5-4145-8763-d3eaa47cfc28,2026-09-08,POS BCC Amex,0,,in_attesa,
7c5264aa-c9ff-401e-ba91-e9f9c6dda060,2026-09-08,POS BCC Amex,0,,in_attesa,
d2725877-b307-4add-9f10-a6bb22dc9b89,2026-09-08,POS BCC Amex,0,,in_attesa,
9611d38a-a9c5-4afd-8373-319ac62e8c03,2026-09-08,POS BCC Amex,0,,in_attesa,
526b11f0-f195-49a8-b8e0-e2c2fa6d7b45,2026-09-08,POS BCC Amex,0,,in_attesa,
a3622573-0630-42d7-831d-85fc80c847c8,2026-09-08,POS MPS,758.5,753.16,accreditato,2026-09-10T06:05:00.090606+00:00
401a197e-dea3-40e4-a570-8dd67b626dc2,2026-09-08,POS MPS,0,,in_attesa,
efec2369-a761-44ec-890b-59592fef748f,2026-09-08,POS MPS,921.68,915.62,accreditato,2026-09-10T06:05:00.090606+00:00
57a7e78b-3046-4cf8-b3eb-2681ca945f26,2026-09-08,POS MPS,486.27,477.46,differenza,2026-09-10T06:05:00.090606+00:00
a4ef56d8-e6be-455a-80c3-0c9aa31ed151,2026-09-08,POS MPS,378.7,375.88,accreditato,2026-09-10T06:05:00.090606+00:00
e6bf68c8-9437-4a5c-8f24-dc32812f8821,2026-09-08,POS MPS,176.9,175.65,accreditato,2026-09-10T06:05:00.090606+00:00
fcb4634b-5974-4655-8473-c639859f5f1e,2026-09-08,POS MPS,783.1,777,accreditato,2026-09-10T06:05:00.090606+00:00
bfd518a6-3679-405c-9915-90038e932a63,2026-09-08,POS MPS Amex,0,915.62,differenza,2026-09-10T06:05:00.090606+00:00
a880e032-ce37-4aa9-8e65-16fc89be380c,2026-09-08,POS MPS Amex,0,,in_attesa,
b5b87c49-2db8-45c9-81c5-88281889acab,2026-09-08,POS MPS Amex,0,,in_attesa,
b8e1a89c-605b-4de9-9662-683a28b72760,2026-09-08,POS MPS Amex,0,777,differenza,2026-09-10T06:05:00.090606+00:00
1756352c-a95b-48c3-a7d8-6e0a8839190b,2026-09-08,POS MPS Amex,0,175.65,differenza,2026-09-10T06:05:00.090606+00:00
4509cb59-38ab-481e-979d-5cf70bb1d535,2026-09-08,POS MPS Amex,0,375.88,differenza,2026-09-10T06:05:00.090606+00:00
